gemeente.naam,gemeente.afkorting,gemeente.provincie,gemeente.contact.telefoon,gemeente.contact.emailadres,gemeente.contact.internet,gemeente.aantalInwoners,gemeente.totaalZetels
Gemeente Almere,Almere,FL,14036,info@almere.nl,http://www.almere.nl,195138,39
Gemeente Ouderkerk,Ouderkerk,ZH,(0180)681055,info@ouderkerk.nl,http://www.ouderkerk.nl,8067,13
Gemeente Zoetermeer,Zoetermeer,ZH,14079,Antwoord@zoetermeer.nl,http://www.zoetermeer.nl,122370,39
Gemeente Zeist,Zeist,UT,14030,zeist@zeist.nl,http://www.zeist.nl,60326,33
Gemeente Loppersum,Loppersum,GR,(0596)548200,gemeente@loppersum.nl,http://www.loppersum.nl,10400,15
Gemeente Delfzijl,Delfzijl,GR,140596,gemeente@delfzijl.nl,http://www.delfzijl.nl,25863,21
Gemeente Eemsmond,Eemsmond,GR,(0595)437555,algemeen@eemsmond.nl,http://www.eemsmond.nl,16232,17
Gemeente Grootegast,Grootegast,GR,140594,info@grootegast.nl,http://www.grootegast.nl,12275,15
Gemeente Haaren,Haaren,NB,(0411)627282,gemeente@haaren.nl,http://www.haaren.nl,13772,15
Gemeente Hilversum,Hilversum,NH,14035,gemeente@hilversum.nl,http://www.hilversum.nl,84422,37
Gemeente Schagen,Schagen,NH,(0224)210400,postbus8@schagen.nl,http://www.schagen.nl,46833,29
Gemeente Heumen,Heumen,GLD,14024,heumen@heumen.nl,http://www.heumen.nl,16428,17
Gemeente Best,Best,NB,(0499)360911,gemeente.best@gembest.nl,http://www.gemeentebest.nl,28747,21
Gemeente Gouda,Gouda,ZH,140182,gemeente@gouda.nl,http://www.gouda.nl,71050,35
Gemeente Weststellingwerf,Weststellingwerf,FR,(0561)691234,info@weststellingwerf.nl,http://www.weststellingwerf.nl,25500,21
Gemeente Alblasserdam,Alblasserdam,ZH,14078,bestuurssecretariaat@alblasserdam.nl,http://www.alblasserdam.nl,19469,17
Gemeente Veghel,Veghel,NB,140413,info@veghel.nl,http://www.veghel.nl,37442,25
Gemeente Laren,Laren,NH,(035)7513444,info@laren.nl,http://www.laren.nl,10979,15
Gemeente Bussum,Bussum,NH,(035)6928888,info@bussum.nl,http://www.bussum.nl,31308,23
Gemeente Stein,Stein,LB,(046)4359393,info@gemeentestein.nl,http://www.gemeentestein.nl,26331,21
Gemeente Sittard-Geleen,Sittard-Geleen,LB,14046,info@sittard-geleen.nl,http://www.sittard-geleen.nl,93961,37
Gemeente Het Bildt,Het Bildt,FR,(0518)409234,info@hetbildt.nl,http://www.hetbildt.nl,10963,15
Gemeente Muiden,Muiden,NH,(0294)210210,info@muiden.nl,http://www.muiden.nl,6466,13
Gemeente Franekeradeel,Franekeradeel,FR,(0517)380380,info@franekeradeel.nl,http://www.franekeradeel.nl,20551,19
Gemeente Waalwijk,Waalwijk,NB,(0416)683456,info@waalwijk.nl,http://www.waalwijk.nl,46605,27
Gemeente Sliedrecht,Sliedrecht,ZH,(0184)495900,gemeente@sliedrecht.nl,http://www.sliedrecht.nl,23774,19
Gemeente Spijkenisse,Spijkenisse,ZH,140181,gemeente@spijkenisse.nl,http://www.spijkenisse.nl,72266,35
Gemeente Beverwijk,Beverwijk,NH,(0251)256256,info@beverwijk.nl,http://www.beverwijk.nl,39329,25
Gemeente Eemnes,Eemnes,UT,14035,info@eemnes.nl,http://www.eemnes.nl,8795,13
Gemeente Veendam,Veendam,GR,(0598)652222,Info@veendam.nl,http://www.veendam.nl,28117,21
Gemeente Slochteren,Slochteren,GR,(0598)425555,algemeen@slochteren.nl,http://www.slochteren.nl,15547,17
Gemeente Stede Broec,Stede Broec,NH,(0228)510111,gemeente@stedebroec.nl,http://www.stedebroec.nl,21508,19
Gemeente Leusden,Leusden,UT,14033,gemeente@leusden.nl,http://www.leusden.nl,28610,21
Gemeente Menameradiel,Menameradiel,FR,(0518)452900,gemeente@menameradiel.nl,http://www.menameradiel.nl,13809,15
Gemeente Barendrecht,Barendrecht,ZH,140180,gemeente@barendrecht.nl,http://www.barendrecht.nl,47392,29
Gemeente Lopik,Lopik,UT,(0348)559955,gemeente@lopik.nl,http://www.lopik.nl,14161,15
Gemeente Teylingen,Teylingen,ZH,(0252)783300,gemeente@teylingen.nl,http://www.teylingen.nl,35739,25
Gemeente Gilze en Rijen,Gilze en Rijen,NB,140161,info@gilzerijen.nl,http://www.gilzerijen.nl,25979,21
Gemeente Lelystad,Lelystad,FL,140320,gemeente@lelystad.nl,http://www.lelystad.nl,75763,35
Gemeente Zuidplas,Zuidplas,ZH,(0180)330300,gemeente@zuidplas.nl,http://www.zuidplas.nl,40474,27
Gemeente Veldhoven,Veldhoven,NB,14040,gemeente@veldhoven.nl,http://www.veldhoven.nl,43623,27
Gemeente Epe,Epe,GLD,140578,gemeente@epe.nl,http://www.epe.nl,32385,23
Gemeente Asten,Asten,NB,(0493)671212,Gemeente@asten.nl,http://www.asten.nl,16398,17
Gemeente Gaasterlân-Sleat,Gaasterlân-Sleat,FR,(0514)608111,info@gaasterlan-sleat.nl,http://www.gaasterlan-sleat.nl,10286,15
Gemeente Maassluis,Maassluis,ZH,14010,gemeente@maassluis.nl,http://www.maassluis.nl,31849,23
Gemeente Voorst,Voorst,GLD,(0571)279911,Gemeente@voorst.nl,http://www.voorst.nl,23717,19
Gemeente Bergen op Zoom,Bergen op Zoom,NB,(0164)277000,stadskantoor@bergenopzoom.nl,http://www.bergenopzoom.nl,66470,33
Gemeente Goirle,Goirle,NB,(013)5310610,info@goirle.nl,http://www.goirle.nl,22312,19
Gemeente Halderberge,Halderberge,NB,(0165)390500,gemeente@halderberge.nl,http://www.halderberge.nl,29479,21
Gemeente Oudewater,Oudewater,UT,(0348)566999,info@oudewater.nl,http://www.oudewater.nl,9953,13
Gemeente Boxmeer,Boxmeer,NB,(0485)585911,gemeente@boxmeer.nl,http://www.boxmeer.nl,28395,21
Gemeente Moerdijk,Moerdijk,NB,(0168)373600,info@moerdijk.nl,http://www.moerdijk.nl,36645,25
Gemeente Tynaarlo,Tynaarlo,DR,(0592)266662,info@tynaarlo.nl,http://www.tynaarlo.nl,31731,22
Gemeente Renkum,Renkum,GLD,(026)3348111,info@renkum.nl,http://www.renkum.nl,31636,23
Gemeente Vlaardingen,Vlaardingen,ZH,(010)2484000,,http://www.vlaardingen.nl,70855,35
Gemeente Lisse,Lisse,ZH,(0252)433222,gemeente@lisse.nl,http://www.lisse.nl,22691,19
Gemeente Gorinchem,Gorinchem,ZH,(0183)659595,Gemeente@Gorinchem.nl,http://www.gorinchem.nl,35070,23
Gemeente Groesbeek,Groesbeek,GLD,(024)3996111,gemeente@groesbeek.nl,http://www.groesbeek.nl,18870,17
Gemeente Binnenmaas,Binnenmaas,ZH,(078)6764433,gemeente@binnenmaas.nl,http://www.binnenmaas.nl,28962,21
Gemeente Dalfsen,Dalfsen,OV,(0529)488388,gemeente@dalfsen.nl,http://www.dalfsen.nl,27658,21
Gemeente Son en Breugel,Son en Breugel,NB,(0499)491491,gemeente@sonenbreugel.nl,http://www.sonenbreugel.nl,15822,17
Gemeente Wierden,Wierden,OV,(0546)580800,gemeente@wierden.nl,http://www.wierden.nl,23812,19
Gemeente Roerdalen,Roerdalen,LB,(0475)538888,info@roerdalen.nl,http://www.roerdalen.nl,21320,19
Gemeente Nijkerk,Nijkerk,GLD,14033,gemeente@nijkerk.eu,http://www.nijkerk.eu,40103,25
Gemeente Krimpen aan den IJssel,Krimpen aan den IJssel,ZH,140180,gemeente@krimpenaandenijssel.nl,http://www.krimpenaandenijssel.nl,28822,21
Gemeente Blaricum,Blaricum,NH,(035)7513222,mail@blaricum.nl,http://www.blaricum.nl,8955,13
Gemeente Rhenen,Rhenen,UT,(0317)681681,info@rhenen.nl,http://www.rhenen.nl,19112,17
Gemeente Graft-De Rijp,Graft-De Rijp,NH,(0299)391950,gemeente@graftderijp.nl,http://www.graftderijp.nl,6434,13
Gemeente Heerenveen,Heerenveen,FR,(0513)617617,gemeente@heerenveen.nl,http://www.heerenveen.nl,42776,28
Gemeente Vlieland,Vlieland,FR,(0562)452700,info@vlieland.nl,http://www.vlieland.nl,1137,8
Gemeente Beemster,Beemster,NH,(0299)682100,gemeente@beemster.net,http://www.beemster.net,8911,13
Gemeente Schoonhoven,Schoonhoven,ZH,(0182)389200,gemeente@schoonhoven.nl,http://www.schoonhoven.nl,12145,15
Gemeente Tytsjerksteradiel,Tytsjerksteradiel,FR,(0511)460860,gemeente@t-diel.nl,http://www.t-diel.nl,32111,23
Gemeente Roermond,Roermond,LB,(0475)359999,mail@roermond.nl,http://www.roermond.nl,56695,31
Gemeente Boxtel,Boxtel,NB,(0411)655911,gemeente@boxtel.nl,http://www.boxtel.nl,30441,23
Deelgemeente Feijenoord,Feijenoord,ZH,(010)2916000,info@feijenoord.rotterdam.nl,http://www.feijenoord.rotterdam.nl,69488,24
Gemeente Heerlen,Heerlen,LB,14045,gemeente@heerlen.nl,http://www.heerlen.nl,88777,35
Gemeente Hilvarenbeek,Hilvarenbeek,NB,(013)5058383,gemeente@hilvarenbeek.nl,http://www.hilvarenbeek.nl,15107,17
Gemeente Vlist,Vlist,ZH,(0182)348400,info@gemeentevlist.nl,http://www.gemeentevlist.nl,9777,13
Gemeente Lingewaal,Lingewaal,GLD,(0345)634000,info@lingewaal.nl,http://www.lingewaal.nl,10913,15
Gemeente Opsterland,Opsterland,FR,(0512)386222,gemeente@opsterland.nl,http://www.opsterland.nl,30046,23
